id,name,region_id
805,Дорогомилово,800
1005,Крюково,1000
314,Северное Медведково,300
106,Пресненский,100
818,Филевский Парк,800
515,Южнопортовый,500
508,Люблино,500
907,Щукино,900
706,Ломоносовский,700
210,Коптево,200
703,Зюзино,700
806,Крылатское,800
504,Выхино-Жулебино,500
616,Орехово-Борисово Северное,600
217,Хорошевский,200
107,Таганский,100
305,Бутырский,300
701,Академический,700
1012,Старое Крюково,1000
704,Коньково,700
413,Перово,400
417,Соколиная Гора,400
513,Рязанский,500
406,Гольяново,400
206,Восточное Дегунино,200
707,Обручевский,700
619,Чертаново Северное,600
213,Савеловский,200
313,Свиблово,300
317,Ярославский,300
811,Ново-Переделкино,800
307,Лосиноостровский,300
316,Южное Медведково,300
110,Якиманка,100
409,Косино-Ухтомский,400
506,Кузьминки,500
514,Текстильщики,500
710,Черемушки,700
813,Внуково,800
607,Бирюлево Западное,600
315,Северный,300
906,Хорошево-Мневники,900
609,Даниловский,600
405,Восточное Измайлово,400
509,Марьино,500
104,Красносельский,100
203,Бескудниковский,200
901,Куркино,900
708,Северное Бутово,700
216,Ховрино,200
303,Бабушкинский,300
816,Солнцево,800
817,Тропарево-Никулино,800
103,Замоскворечье,100
408,Измайлово,400
309,Марьина Роща,300
819,Фили-Давыдково,800
618,Царицыно,600
809,Можайский,800
310,Останкинский,300
301,Алексеевский,300
105,Мещанский,100
304,Бибирево,300
1009,Матушкино,1000
407,Ивановское,400
617,Орехово-Борисово Южное,600
807,Кунцево,800
711,Южное Бутово,700
709,Теплый Стан,700
202,Беговой,200
904,Северное Тушино,900
620,Чертаново Центральное,600
215,Тимирязевский,200
208,Дмитровский,200
615,Нагорный,600
902,Митино,900
306,Лианозово,300
108,Тверской,100
712,Ясенево,700
311,Отрадное,300
418,Сокольники,400
814,Проспект Вернадского,800
908,Южное Тушино,900
820,Очаково-Матвеевское,800
415,Преображенское,400
606,Бирюлево Восточное,600
403,Богородское,400
507,Лефортово,500
102,Басманный,100
621,Чертаново Южное,600
608,Братеево,600
302,Алтуфьевский,300
614,Нагатинский Затон,600
411,Новогиреево,400
212,Молжаниновский,200
702,Гагаринский,700
511,Печатники,500
205,Войковский,200
416,Северное Измайлово,400
207,Головинский,200
211,Левобережный,200
613,Нагатино-Садовники,600
705,Котловка,700
512,Некрасовка,500
1011,Силино,1000
412,Новокосино,400
109,Хамовники,100
101,Арбат,100
404,Вешняки,400
610,Донской,600
214,Сокол,200
510,Нижегородский,500
903,Покровское-Стрешнево,900
209,Западное Дегунино,200
312,Ростокино,300
410,Метрогородок,400
612,Москворечье-Сабурово,600
905,Строгино,900
308,Марфино,300
1010,Савелки,1000
201,Аэропорт,200
815,Раменки,800
414,Восточный,400
611,Зябликово,600
505,Капотня,500
